Roll No,Name,Total Present,Total Absent,Attendance % ,Status
1001,Rohit,21,9,70.0,Pass
1002,Ankit,21,9,70.0,Pass
1003,Priya,26,4,86.67,Pass
1004,Rahul,23,7,76.67,Pass
1005,Rohit,20,10,66.67,Pass
1006,Rishika,18,12,60.0,Pass
1007,Rohit,21,9,70.0,Pass
1008,Priya,25,5,83.33,Pass
1009,Rahul,21,9,70.0,Pass
1010,Ankit,24,6,80.0,Pass
1011,Priya,20,10,66.67,Pass
1012,Priya,25,5,83.33,Pass
1013,Rishika,16,14,53.33,Detain
1014,Mohan,20,10,66.67,Pass
1015,Rahul,22,8,73.33,Pass
1016,Akash,23,7,76.67,Pass
1017,Priya,20,10,66.67,Pass
1018,Mohan,21,9,70.0,Pass
1019,Akash,26,4,86.67,Pass
1020,Rahul,20,10,66.67,Pass
1021,Rishi,24,6,80.0,Pass
1022,Mohan,16,14,53.33,Detain
1023,Rajnandani,17,13,56.67,Detain
1024,Rishi,21,9,70.0,Pass
1025,Rishika,22,8,73.33,Pass
1026,Rohit,21,9,70.0,Pass
1027,Ankit,23,7,76.67,Pass
1028,Rajnandani,21,9,70.0,Pass
1029,Rishika,15,15,50.0,Detain
1030,Rahul,21,9,70.0,Pass
1031,Rishika,20,10,66.67,Pass
1032,Rohit,19,11,63.33,Pass
1033,Rahul,22,8,73.33,Pass
1034,Rajnandani,25,5,83.33,Pass
1035,Rohit,17,13,56.67,Detain
1036,Akash,20,10,66.67,Pass
1037,Ankit,20,10,66.67,Pass
1038,Rajnandani,20,10,66.67,Pass
1039,Akash,19,11,63.33,Pass
1040,Rajnandani,17,13,56.67,Detain
1041,Rahul,19,11,63.33,Pass
1042,Akash,21,9,70.0,Pass
1043,Ankit,24,6,80.0,Pass
1044,Rohit,22,8,73.33,Pass
1045,Priya,27,3,90.0,Pass
1046,Rishika,25,5,83.33,Pass
1047,Rishi,21,9,70.0,Pass
1048,Ankit,18,12,60.0,Pass
1049,Akash,22,8,73.33,Pass
1050,Priya,20,10,66.67,Pass
